x,y
18.5031,102.275
28.6315,152.475
25.5252,129.206
24.5585,138.144
23.9349,133.691
25.9858,139.564
30.4866,156.963
29.9937,159.798
17.7323,101.923
18.9464,105.497
23.0094,130.577
16.204,92.2396
41.3696,211.889
29.4351,153.619
39.8504,205.605
20.1135,108.459
35.8599,197.322
19.7208,114.434
27.9178,141.037
9.72193,55.6581
20.9816,111.568
25.5631,140.591
27.467,145.966
22.4207,122.712
26.4563,148.63
19.02,96.782
19.6778,111.847
33.7989,180.685
30.2833,160.637
23.9977,130.604
36.8796,193.182
38.9028,203.041
26.3794,146.001
21.4487,117.628
23.1193,128.751
30.4726,159.907
19.7495,109.865
18.5922,96.0833
14.2217,82.828
37.4377,190.878
11.9219,71.9444
23.8748,136.448
10.0911,58.6113
17.1605,91.8787
12.3564,69.5628
38.8936,202.505
31.6149,162.529
11.2676,63.5342
33.9688,182.26
28.3539,145.176
10.6399,63.4808
32.9788,175.37
14.1963,75.1185
39.1267,203.045
31.5411,172.1
20.3761,120.133
12.2655,75.1805
21.4061,116.624
39.9001,210.154
8.71654,55.4082
23.0292,129.876
11.6834,69.3546
37.0566,194
34.9341,184.668
18.7339,103.347
13.6152,79.8484
14.3877,86.3069
33.3141,177.929
19.6919,99.2367
30.7279,164.103
21.5992,117.106
13.9619,78.0991
19.3916,106.163
31.9185,166.908
40.048,201.285
16.6564,96.2262
11.9148,74.8706
10.7544,66.8989
9.08964,55.6653
21.7739,116.367
19.9079,102.936
15.758,91.1638
10.8297,66.7531
28.2659,148.775
25.4079,138.334
13.745,75.5547
33.0441,175.353
30.8764,172.572
37.1542,188.95
9.98527,57.6403
11.3024,62.3369
25.282,142.949
30.6287,163.197
12.0109,61.6475
19.4269,109.37
11.343,69.3271
21.5185,121.089
22.6675,121.652
41.2113,219.978
23.3649,124.4
