x,y
23.5166,11.9139
24.0819,11.0174
23.332,7.93226
18.9569,9.00494
24.2569,10.4218
14.3754,11.0885
18.2374,12.9182
32.4389,14.6935
25.5382,5.45802
16.5206,6.57905
20.8753,7.63787
12.827,9.13351
17.5543,9.29695
14.9235,8.71005
19.7989,9.03297
20.4153,9.53745
16.2866,7.0014
7.53068,11.1361
18.9111,10.3905
22.1031,6.28643
16.2223,10.52
24.6203,11.101
20.671,9.72345
18.6732,8.11234
22.2376,11.4491
27.1228,8.72183
15.4509,11.2773
23.0784,7.30878
31.6558,10.9424
17.5647,10.7018
20.5273,10.2035
16.6221,11.4764
21.4423,10.3513
19.5352,11.1165
23.4841,11.7307
12.7291,10.2705
24.6103,9.61344
12.9955,11.9137
15.8987,7.15693
14.1914,12.421
18.5163,11.1218
22.944,7.61428
21.9979,9.07303
30.4315,9.87067
16.6971,12.3106
20.7797,8.02626
21.2406,8.18471
7.42285,7.96952
23.4688,7.73501
13.7606,8.71357
14.8236,9.49849
23.1984,11.079
17.5505,8.69979
26.6143,11.5311
14.2412,8.8979
19.5633,6.20176
21.1372,9.74239
19.613,8.51801
23.792,7.31073
18.4638,12.6245
26.2984,7.74667
22.1832,9.80089
17.3687,8.44294
23.7287,8.77192
16.0507,10.6706
13.0549,9.95172
21.5595,6.82109
21.0381,11.0041
15.0386,9.23481
20.5089,8.26346
20.6647,7.85273
22.8692,12.1367
10.34,12.3141
21.2964,11.4736
19.5317,9.40075
29.0523,8.28677
19.4529,8.77286
9.2403,10.1523
25.099,7.90634
21.9266,10.0333
20.8928,9.20188
12.6715,9.82003
21.0177,10.7445
18.6446,8.28678
21.6493,7.67656
12.9636,12.3763
7.5713,14.0458
22.6497,10.5529
14.6322,9.95338
20.5482,11.1454
22.6061,10.3614
14.4335,7.4486
20.1394,9.07077
16.6873,10.2504
24.4838,10.7346
17.7519,12.9143
22.0007,7.9347
19.7092,11.6783
23.5896,12.59
10.4052,10.039
25.4612,11.0931
21.0115,10.2557
20.4735,10.5343
17.2803,10.2159
12.6992,11.4136
17.0138,6.99935
24.83,10.9761
16.2516,8.41377
12.5252,9.99705
32.046,11.221
16.7775,12.3664
23.6319,10.0847
19.9946,10.5494
21.8372,11.8924
21.5685,6.77718
25.1388,10.9177
24.6882,8.17132
13.9155,6.62316
16.6019,7.35711
13.7009,10.4689
16.2514,11.5673
21.4071,12.0551
22.2394,9.72032
16.6527,9.16027
12.7104,10.0836
15.2919,10.5844
29.9198,15.5251
10.2139,9.98684
21.5812,10.341
15.6033,11.5009
17.9738,14.5707
18.6964,5.67813
27.7541,6.58323
22.4337,11.2563
16.8487,9.57146
22.6251,10.5229
17.8082,12.1864
20.9717,7.51182
16.6057,11.5476
18.8591,8.64934
21.4124,12.0061
15.322,11.3256
20.7246,7.60088
19.3783,12.938
18.7891,8.75312
24.9715,7.79294
23.4616,8.83883
19.3378,6.79605
19.7486,8.25194
26.0538,13.4871
32.1532,7.68576
23.5662,11.5327
18.0211,10.9285
21.7488,8.91229
20.5758,10.6496
17.3407,10.8127
14.14,9.97689
21.3048,11.349
23.5182,6.77958
17.291,7.88654
16.4776,7.24371
17.2723,10.6386
24.0132,7.93358
15.8765,8.04722
22.3431,9.16967
17.0017,9.74822
16.8515,12.4824
19.3051,11.5048
24.6491,8.85861
15.7986,7.33541
14.6587,6.17001
25.8896,9.95008
21.3537,11.441
15.3759,11.7658
21.4094,10.1086
23.2503,8.36953
27.2984,9.00389
28.7883,10.6027
22.8236,11.2031
15.1674,8.66026
30.1792,11.3038
24.5616,11.4309
14.7972,6.76471
27.8442,8.70457
33.9273,7.13233
25.2714,8.13341
24.2957,9.63722
20.5223,12.6756
23.0398,13.9638
25.3978,9.21544
16.9325,12.3836
14.9213,9.78439
24.5527,8.71549
15.6062,10.1638
23.8397,8.51092
18.7501,6.75623
16.1253,10.8225
24.4103,8.06586
10.1235,11.5569
29.2816,8.02959
32.4857,9.04086
19.1082,13.7297
22.4291,6.15969
19.873,5.73302
20.4584,12.3536
18.5672,6.37082
24.9969,11.3739
17.9688,11.4379
27.9844,10.9942
28.1071,9.78414
24.5026,9.92694
18.0122,12.2311
24.6149,12.3876
13.5783,5.85846
16.1269,10.0425
23.8324,11.1719
22.3771,10.4902
9.5874,10.3277
22.8429,10.0274
27.1092,9.8343
12.8428,10.1478
16.9519,8.54297
21.7764,12.5994
30.5371,9.32635
18.2496,7.50922
15.8995,13.318
22.44,10.5643
22.8394,8.98527
27.2468,10.6584
22.2218,7.88426
25.8372,10.8761
20.2033,11.5724
9.59827,10.0536
15.5899,12.9466
17.6715,9.46858
22.075,11.2846
20.3988,9.74955
8.42975,8.22765
13.1246,10.029
23.0751,6.74073
18.4443,9.94449
21.8646,11.0387
20.8894,8.99221
16.6717,11.9757
23.835,9.93448
13.3042,7.24084
17.8154,12.7124
24.1638,10.4451
18.9006,8.33889
13.6239,7.95881
22.398,11.93
12.0372,8.61895
18.6403,12.2213
25.1343,9.94712
23.5751,7.94013
16.9358,8.47072
21.0882,13.663
22.807,5.91395
15.6107,6.29946
31.6534,10.5192
16.694,11.2918
22.1076,12.3821
20.61,11.1921
18.5166,9.91216
13.0282,11.8254
19.9685,10.813
19.507,12.835
20.4382,9.89566
24.6871,9.20411
16.3237,12.4596
25.2495,6.82788
22.4232,8.27436
19.6793,11.2382
23.6861,10.1989
17.5382,11.6097
21.6578,9.00437
24.3317,12.5955
19.382,9.11503
18.9916,10.428
24.5206,11.2448
23.0537,7.38083
26.0577,10.929
16.3054,7.69847
27.3596,11.3888
13.787,13.5835
22.8512,9.89477
12.6583,11.6522
21.9935,8.22978
13.4545,7.78312
14.8541,9.77678
13.3168,11.2945
26.2331,9.36136
23.723,8.95289
15.1345,10.1629
22.6621,3.63587
17.0143,5.84434
11.9785,12.3183
9.19267,11.3886
19.8658,14.3456
23.863,10.8942
