x,y
28.9349,38.4289
11.1206,38.6249
36.7835,50.7145
43.0241,53.809
49.0714,49.1456
27.2179,47.5448
33.9264,3.52315
37.0855,47.6456
29.6795,50.8172
41.2015,58.492
24.4343,51.292
34.3493,55.2364
19.6325,67.7597
24.2595,26.7653
32.6126,57.5469
31.3629,60.2104
46.0011,43.3122
25.7732,40.2359
29.6473,43.2694
26.7376,46.2701
30.4122,46.9014
24.3887,19.5397
31.191,27.9253
15.2786,38.0155
10.2074,54.6008
27.5593,20.9555
30.3877,46.3195
48.8738,23.963
30.1241,45.6807
38.2825,60.9324
20.4464,34.4636
15.8696,40.5729
13.1039,39.7888
25.0536,58.5451
41.37,16.0189
27.0934,39.483
44.6772,47.8371
32.0694,59.4225
35.1339,26.8499
16.788,48.1848
28.7817,43.8592
39.5443,38.9106
7.08755,50.2455
30.4146,32.0006
43.3115,31.2855
44.0942,39.4389
38.5542,34.7556
39.8168,39.7497
28.0648,54.878
40.5742,32.8828
27.5647,65.6486
34.5986,9.1573
36.635,26.2995
29.7271,45.2425
32.5994,53.4265
26.8902,61.743
7.79423,28.6958
24.8159,47.4994
14.4583,32.6208
20.3483,43.6057
42.5232,41.3653
25.2034,40.9649
32.9004,22.3928
11.1249,26.4835
30.4527,28.1823
38.792,48.3753
27.7264,42.931
52.3083,27.0059
26.8801,40.0753
38.4773,48.2567
24.1783,52.1963
28.8187,51.185
33.6118,49.8738
39.4267,37.1941
19.6703,18.1847
21.1654,43.2115
15.6928,36.1864
43.6993,39.6883
21.7423,39.4381
29.4683,44.8419
21.654,37.2054
36.3937,55.4877
28.7015,41.0631
33.5057,61.5458
41.5966,62.4853
21.8626,44.2501
33.121,23.2364
42.9391,52.206
42.2764,47.9617
38.0546,37.7167
19.9226,31.0051
35.0225,21.6161
31.0765,55.4224
13.5123,25.1003
23.375,23.8347
18.6889,41.4713
42.9295,37.9099
31.2039,42.9848
21.1447,40.6979
17.742,41.1157
23.8507,14.9597
27.164,27.6334
18.8891,36.0177
19.218,29.7449
27.3964,51.1509
20.5777,30.8703
45.2322,48.2326
1.33617,44.9439
18.264,30.8358
49.3704,56.0929
24.4041,36.401
16.9101,3.15865
32.8461,32.0531
16.7214,33.5768
27.7838,34.5389
20.758,40.47
17.7346,22.9838
30.59,45.5165
38.8014,41.6613
35.6794,53.6886
29.4963,18.4925
22.4567,64.364
26.5096,42.9546
27.8249,48.7772
35.0838,53.3368
41.5282,47.6864
14.6773,50.1208
37.2737,30.3698
36.8652,59.5975
26.58,35.8166
30.496,32.9251
23.5163,31.7919
42.929,47.7013
27.3596,33.4027
23.8032,12.0634
36.4084,27.498
32.4307,41.8612
41.0728,48.8287
39.5349,29.1494
49.8838,60.4711
37.0194,35.7303
39.2968,40.4545
38.8734,51.4321
30.8191,29.6557
19.7813,33.8257
33.0549,26.0846
43.3937,47.2575
30.2955,34.7596
8.33439,55.2518
14.9623,73.0963
38.1518,33.5734
24.6878,58.3271
26.9231,48.8017
26.9075,32.3012
40.6421,41.3631
37.893,23.7099
41.2339,54.1571
21.673,38.9431
40.7656,45.0375
24.9604,51.5165
39.7666,49.0709
26.4948,47.8919
37.071,52.142
21.7441,27.1801
39.3297,47.6564
24.9843,40.0922
25.1889,62.5602
26.0627,37.2864
45.6793,38.7779
17.4878,32.3118
31.1485,24.1867
38.0965,32.0834
30.4596,51.1612
21.2917,32.1027
25.9962,26.5206
40.6132,43.8842
24.6951,37.4294
26.8677,40.5922
21.0148,48.4617
40.5957,42.8125
19.8868,26.0916
13.846,38.5043
25.5412,37.4751
34.1407,-1.43039
17.0944,36.726
32.6711,46.5684
15.4259,43.9275
43.753,35.3375
27.1789,26.3795
23.3905,35.5267
26.2429,29.8484
35.4231,37.0394
17.8364,52.3382
31.3653,45.9929
36.808,39.4038
43.2698,22.2935
30.5728,37.1731
24.2168,60.1256
44.1689,39.2662
41.4152,32.1045
8.65257,32.4129
19.0084,46.7465
13.2533,29.0742
36.3386,27.2139
42.6874,32.3722
54.0807,25.5193
23.275,31.7058
37.9405,48.7503
24.9367,76.6947
28.2848,37.2702
27.3465,26.4649
32.7664,31.3922
34.6203,30.5513
38.6523,52.0711
25.3587,25.4857
44.5906,51.5086
29.194,63.2038
41.9038,31.0798
35.5376,34.4406
29.0108,34.8807
25.1655,33.0662
17.6194,45.452
33.5465,42.2559
33.2524,65.524
18.8078,58.1465
42.4018,21.6256
24.099,48.1058
23.4383,28.3061
28.9123,66.004
26.2701,35.5705
51.6406,37.1325
42.6896,44.7502
19.6953,40.3012
44.0621,33.1785
40.5116,43.3705
34.8015,35.5038
44.8931,30.8861
18.7001,52.7557
26.5645,25.5157
38.4031,43.6096
46.4474,41.5543
23.6357,18.0288
26.2077,36.0993
24.8669,34.611
40.2127,48.0891
20.5749,40.2096
26.7403,23.8102
31.2363,47.5433
28.6739,33.7402
27.2403,50.4164
21.1128,56.6503
9.19134,48.2042
22.6916,34.1353
32.787,12.8453
33.8064,43.4237
27.9551,34.7359
29.5661,27.4761
40.2612,44.1984
38.9627,31.8254
29.8057,30.8661
15.823,34.5845
21.6003,32.3749
39.4974,33.2408
28.4563,26.5366
34.5149,45.8018
39.0283,43.9043
22.2454,42.8244
33.8562,29.0598
34.2327,68.2231
25.1102,43.9738
19.9061,46.0631
18.7675,34.6958
34.7335,24.4501
23.4586,51.003
28.658,60.1385
19.4442,55.2968
39.8466,43.615
32.4559,44.8148
27.7647,48.1716
29.3376,34.9644
18.4804,38.2846
41.0341,38.3352
33.743,23.0428
29.0809,25.3817
15.4687,36.1739
19.9941,41.9347
24.7435,37.373
27.936,43.3322
33.1088,36.4538
28.2605,38.6795
33.8696,49.9017
23.197,38.3109
27.5522,47.0439
33.7294,31.4359
41.0795,22.183
32.8101,56.5806
34.3114,43.5029
39.4399,44.3317
27.3411,32.5805
34.2185,25.2617
