x,y
55.9754,53.6362
52.1504,44.776
55.0159,60.287
61.4856,46.6233
50.1824,51.3066
57.3195,44.2432
56.7145,47.2283
48.583,46.4063
55.9588,50.2012
45.0509,53.8951
49.1632,49.9086
49.9924,44.5074
47.2138,47.4813
55.4074,55.111
59.2282,46.3829
58.2933,58.5579
54.4554,53.4794
60.7374,41.9936
53.2091,48.5806
56.2802,45.9853
55.5675,58.2947
46.3839,54.5344
53.2828,49.9137
60.6288,48.4417
49.5134,48.5932
55.9004,49.4412
54.0285,47.231
58.465,47.845
57.1612,51.2879
50.2112,49.5368
49.8979,49.0519
52.8648,39.9891
50.7181,51.2455
59.9993,55.3526
50.4722,46.0402
58.7576,53.9353
56.051,51.9402
55.5154,44.3351
54.6533,53.149
47.2235,54.0569
59.4354,52.699
53.6801,57.7746
52.6136,58.9319
52.8609,45.4192
54.2873,47.2147
65.4883,41.8024
67.286,50.2325
57.8753,49.7684
58.459,47.0501
66.4317,43.7869
61.1986,54.6525
51.6726,44.6887
48.1637,49.5815
43.7694,39.352
58.8861,53.7505
60.3285,44.9427
51.7612,58.8638
57.9994,48.1417
52.8781,49.2518
63.1924,56.0881
53.2516,46.0716
44.2239,56.1807
54.7643,66.5972
48.1428,51.1718
49.5861,43.5375
55.3351,49.3905
66.154,46.282
48.2149,45.3087
43.703,44.6977
54.1834,51.8412
55.5498,51.9613
60.5354,45.9014
56.1021,52.5587
53.2873,53.0087
51.9288,53.0478
50.9379,53.368
58.0252,48.2021
54.2341,41.3856
48.1396,50.0403
63.3926,54.5839
48.0947,48.6134
60.2542,53.4078
55.3461,50.4252
48.0786,46.5261
53.0299,52.526
52.0324,49.7226
49.9821,51.3497
48.7835,46.4784
45.3723,58.8294
50.8155,43.3802
54.7671,47.4845
60.4956,50.917
54.2876,52.5273
57.4489,42.7879
44.4605,47.1465
51.3127,53.9763
53.5063,49.9321
60.6806,47.7069
49.3763,48.912
58.8472,50.8605
