x,y,c
62.6026,70.9253,0
91.1201,78.9977,0
88.828,75.5232,0
65.9585,93.7065,0
58.3957,68.1192,0
75.7572,89.7339,0
75.9722,66.0763,0
72.7122,86.6493,0
80.849,68.3944,0
80.3475,68.9221,0
82.4589,57.4823,0
65.3485,70.2572,0
69.5343,74.6151,0
76.9495,70.1486,0
71.2973,63.7592,0
92.3664,83.8219,0
59.9721,80.7076,0
65.7006,65.6501,0
67.3532,77.5085,0
73.1184,59.8685,0
88.2256,94.3468,0
87.5244,85.417,0
68.0304,80.371,0
81.9482,80.4123,0
55.3114,78.5418,0
70.4474,78.7799,0
72.2593,75.0562,0
57.2714,80.1969,0
75.4319,55.3332,0
70.1926,56.6359,1
72.4215,71.0826,0
101.959,91.585,0
63.6231,62.7973,1
76.1115,68.2707,0
61.0186,70.2254,0
81.4312,88.7519,0
62.411,77.5948,0
58.753,65.0305,1
73.5072,61.662,0
60.5648,81.5806,0
71.7796,71.1938,0
80.9357,85.5796,0
62.8725,73.993,0
79.687,83.1909,0
73.1213,74.7695,0
71.9722,65.0064,0
58.7193,72.4934,0
81.588,65.2654,0
62.9817,71.0055,0
67.7294,79.3853,0
70.7046,52.9033,1
62.7431,82.3464,0
81.3017,76.378,0
81.74,72.1884,0
63.055,85.6918,0
62.885,53.053,1
81.8046,89.0633,0
71.8226,76.2357,0
71.2952,75.2666,0
80.9289,73.3498,0
74.1065,95.4214,0
77.0054,77.7781,0
86.648,65.8462,0
69.3316,70.8007,0
68.463,68.5443,0
79.713,90.2415,0
78.216,70.9383,0
60.8843,60.0689,1
61.3589,85.1045,0
80.8838,80.1564,0
76.2258,60.377,0
88.4974,89.0554,0
86.4327,83.6293,0
70.9033,81.2863,0
89.8798,87.8343,0
92.6615,87.5511,0
78.8639,75.9563,0
69.0312,97.7718,0
73.5081,73.4368,0
69.8651,55.4571,1
75.4363,63.8685,0
70.8923,61.969,0
66.9242,88.1755,0
87.9412,60.1991,0
67.045,78.3334,0
77.9007,72.3119,0
63.8436,79.6573,0
67.2903,48.1935,1
67.5782,76.9181,0
79.0158,84.4017,0
61.9746,83.8037,0
69.4593,78.335,0
92.1939,74.8728,0
84.1249,86.1553,0
77.7603,78.32,0
48.8717,68.6367,1
81.8207,67.8839,0
76.7709,67.1246,0
66.7768,69.829,0
78.2887,78.2159,0
64.4331,80.2526,0
61.6778,69.6941,0
76.2519,72.2244,0
83.4416,79.1162,0
71.4521,76.2766,0
78.5697,73.4342,0
81.1562,73.2167,0
68.974,70.5959,0
71.6001,64.0378,0
74.3003,77.874,0
84.4733,69.7443,0
61.523,73.8077,0
84.6743,70.6156,0
93.9024,67.4971,0
69.3302,88.9586,0
75.1968,80.5007,0
64.583,69.2014,0
75.9462,84.3006,0
60.7025,73.9938,0
79.7378,80.0559,0
74.0641,76.9841,0
67.9417,79.235,0
81.9832,67.6712,0
82.9182,78.0893,0
69.2631,102.403,0
68.4025,79.4578,0
83.6127,72.4483,0
81.3276,80.0775,0
74.4383,83.0689,0
72.8082,83.9997,0
83.4229,59.3869,0
68.2922,91.2891,0
99.2079,70.4431,0
70.0449,66.4639,0
71.67,57.4301,0
85.8493,73.1966,0
80.4169,82.7881,0
77.6066,63.0837,0
69.8754,60.6966,0
72.5805,97.5455,0
92.7943,77.7545,0
67.6007,77.4026,0
77.3395,68.6909,0
64.4025,78.5916,0
77.0804,59.3792,0
69.1938,57.713,1
81.1263,76.8371,0
77.5623,93.7562,0
74.8873,83.3496,0
81.596,94.9209,0
78.0892,77.0356,0
79.085,75.0063,0
73.3617,85.2432,0
77.6734,61.2316,0
81.008,95.2667,0
65.5535,68.8213,0
76.5509,93.1337,0
59.8707,89.4831,0
66.4787,84.837,0
79.1978,101.967,0
84.6106,82.5926,0
73.5602,57.7669,0
61.467,82.6693,0
82.106,75.6538,0
90.819,62.4263,0
81.7291,72.5696,0
85.4916,88.4375,0
76.2914,75.5116,0
66.0918,72.9654,0
76.5945,86.6311,0
89.5885,76.8638,0
60.0059,65.1662,1
74.3025,82.0762,0
64.2688,57.9584,1
67.3122,82.8987,0
93.1433,76.3827,0
66.8487,82.9835,0
92.7056,85.5485,0
57.8931,70.3988,0
80.1161,78.7774,0
74.25,73.5544,0
65.428,82.0239,0
56.9335,70.8956,0
64.9983,66.5274,0
89.2969,67.2902,0
65.99,77.2456,0
79.4385,95.0488,0
70.2138,53.8643,1
80.8344,87.8202,0
71.1776,81.3018,0
89.9552,77.0444,0
81.325,74.594,0
77.7578,84.0443,0
74.6383,67.9062,0
69.6774,69.9777,0
83.4339,68.8327,0
86.3109,82.9392,0
67.1197,72.2294,0
75.2803,94.4226,0
60.0296,70.6905,0
66.0033,80.53,0
76.7051,73.4797,0
64.347,77.8569,0
85.6941,70.0216,0
79.4557,86.3118,0
74.8987,62.1749,0
72.4955,77.4704,0
58.3735,70.9876,0
80.8408,84.3446,0
69.1581,70.8921,0
61.3546,74.1791,0
62.462,84.312,0
82.7813,71.9106,0
72.8882,78.2906,0
89.3355,83.6244,0
99.7095,68.928,0
79.8075,51.6981,0
70.1082,72.8162,0
79.9699,72.8322,0
88.4887,82.363,0
71.8987,79.5524,0
71.297,86.4877,0
59.5439,63.7786,1
78.1435,66.972,0
64.5875,69.1927,0
82.7801,82.7528,0
87.3033,72.4699,0
70.1884,75.7119,0
60.6849,54.2105,1
67.1012,77.0296,0
107.888,87.7736,0
67.3264,74.4528,0
73.0713,72.495,0
86.1236,74.0625,0
64.0378,86.1591,0
91.4621,68.7064,0
101.01,90.2001,0
76.4027,89.2191,0
73.8087,76.9409,0
61.4102,57.1469,1
76.8593,91.5059,0
81.1132,59.4343,0
80.0027,88.8648,0
60.0003,73.0087,0
75.2768,80.5138,0
62.1583,78.8195,0
81.2275,84.7008,0
86.7424,84.222,0
71.3056,104.891,0
69.7319,83.6194,0
83.2955,67.1787,0
77.3019,73.1519,0
74.4865,60.8852,0
80.5841,82.0118,0
60.2295,75.6021,0
86.8767,66.6294,0
67.1643,94.3389,0
83.2726,73.0298,0
74.0767,88.2174,0
69.2154,80.7257,0
66.4133,77.317,0
62.5144,68.1935,0
96.9232,90.361,0
74.8231,65.4365,0
67.2347,71.9663,0
80.6876,66.244,0
80.9378,70.5535,0
78.9321,77.7128,0
81.4538,75.1947,0
69.9151,59.0287,0
54.7104,68.8311,1
66.8735,58.9595,1
65.5689,69.9425,0
81.3797,73.0176,0
57.1205,79.8834,0
76.7862,62.6321,0
77.0271,69.9764,0
75.0721,80.3376,0
87.983,72.4437,0
59.3732,77.9179,0
81.3686,89.3566,0
81.7987,56.7983,0
64.5277,79.2906,0
68.6054,68.3838,0
67.0074,83.9469,0
60.3713,82.0914,0
73.9052,85.5412,0
82.8529,77.2952,0
82.047,82.7038,0
75.3537,87.6992,0
82.4958,83.1811,0
61.9101,73.7788,0
92.7829,62.113,0
86.081,102.444,0
78.4774,70.6485,0
73.7857,65.8993,0
73.3164,73.0914,0
89.7299,61.9177,0
73.2139,73.9997,0
68.9212,80.8713,0
12.6026,20.9253,1
41.1201,28.9977,1
38.828,25.5232,1
15.9585,43.7065,1
8.39571,18.1192,1
25.7572,39.7339,1
25.9722,16.0763,1
22.7122,36.6493,1
30.849,18.3944,1
30.3475,18.9221,1
32.4589,7.48232,1
15.3485,20.2572,1
19.5343,24.6151,1
26.9495,20.1486,1
21.2973,13.7592,1
42.3664,33.8219,1
9.97211,30.7076,1
15.7006,15.6501,1
17.3532,27.5085,1
23.1184,9.8685,1
38.2256,44.3468,1
37.5244,35.417,1
18.0304,30.371,1
31.9482,30.4123,1
5.31143,28.5418,1
20.4474,28.7799,1
22.2593,25.0562,1
7.27137,30.1969,1
25.4319,5.33316,1
20.1926,6.63593,1
22.4215,21.0826,1
51.9588,41.585,1
13.6231,12.7973,1
26.1115,18.2707,1
11.0186,20.2254,1
31.4312,38.7519,1
12.411,27.5948,1
8.75298,15.0305,1
23.5072,11.662,1
10.5648,31.5806,1
21.7796,21.1938,1
30.9357,35.5796,1
12.8725,23.993,1
29.687,33.1909,1
23.1213,24.7695,1
21.9722,15.0064,1
8.71926,22.4934,1
31.588,15.2654,1
12.9817,21.0055,1
17.7294,29.3853,1
20.7046,2.90335,1
12.7431,32.3464,1
31.3017,26.378,1
31.74,22.1884,1
13.055,35.6918,1
12.885,3.05303,1
31.8046,39.0633,1
21.8226,26.2357,1
21.2952,25.2666,1
30.9289,23.3498,1
24.1065,45.4214,1
27.0054,27.7781,1
36.648,15.8462,1
19.3316,20.8007,1
18.463,18.5443,1
29.713,40.2415,1
28.216,20.9383,1
10.8843,10.0689,1
11.3589,35.1045,1
30.8838,30.1564,1
26.2258,10.377,1
38.4974,39.0554,1
36.4327,33.6293,1
20.9033,31.2863,1
39.8798,37.8343,1
42.6615,37.5511,1
28.8639,25.9563,1
19.0312,47.7718,1
23.5081,23.4368,1
19.8651,5.45715,1
25.4363,13.8685,1
20.8923,11.969,1
16.9242,38.1755,1
37.9412,10.1991,1
