x,y,c
87.7799,23.8412,2
58.3807,13.0974,2
81.5812,21.3269,2
82.4913,19.4452,2
68.7321,24.7585,2
80.6287,20.8899,2
67.603,25.0931,2
80.9802,15.142,2
88.7205,16.7599,2
82.3501,14.3654,2
66.0106,15.6485,2
89.303,26.6476,2
78.7917,17.5703,2
78.0753,21.4883,2
88.3582,22.08,2
99.6489,25.335,2
91.0476,25.2307,2
79.8717,26.9428,2
73.7643,21.3781,2
90.5347,18.2803,2
74.4948,23.2399,2
86.1487,12.316,2
71.6647,21.9064,2
74.1231,14.505,2
78.1819,12.332,2
92.682,18.6025,2
87.0067,21.2289,2
84.2333,28.7981,2
78.9039,21.2061,2
79.8861,25.2651,2
87.8372,19.277,2
75.0948,28.7948,2
81.3241,20.369,2
91.5514,27.0244,2
84.5397,15.6149,2
77.528,22.5627,2
76.3419,16.4079,2
75.1329,18.0501,2
77.0346,11.5367,2
67.8279,16.5164,2
71.6992,29.5899,2
81.2634,19.6435,2
84.6671,17.5785,2
75.745,24.2297,2
83.8887,22.0639,2
68.1801,28.0462,2
73.81,22.5143,2
71.768,15.7831,2
66.2529,20.6783,2
95.164,10.7107,2
56.9403,20.7353,2
79.6394,23.6049,2
83.9277,21.1133,2
71.7624,18.8837,2
75.9061,22.1364,2
81.2246,10.8684,2
91.3893,6.32749,2
102.102,14.6772,2
50.3502,24.0055,1
91.6899,14.5892,2
58.8641,11.9218,2
90.3852,26.6823,2
95.24,13.9615,2
84.3564,17.3615,2
86.5021,18.6078,2
74.8785,17.2963,2
83.198,13.9647,2
71.1039,21.0138,2
82.6064,21.6041,2
83.9974,25.0871,2
82.6758,20.5151,2
93.8155,21.0835,2
71.64,17.5708,2
68.7801,18.2568,2
98.3057,18.9584,2
84.1926,18.3378,2
91.5497,19.7562,2
65.0654,24.3925,2
81.6885,14.1963,2
90.3478,22.729,2
72.4575,20.1832,2
93.7226,18.9424,2
58.5371,23.812,2
67.3994,29.188,2
70.6227,25.5642,2
71.8661,17.1099,2
83.52,32.6167,2
84.2527,18.5724,2
83.0474,22.8955,2
96.9784,21.5886,2
69.1465,16.0515,2
63.0079,20.959,2
79.2255,20.565,2
81.1601,22.3934,2
79.016,24.0258,2
83.094,23.9777,2
78.0366,16.5882,2
75.3816,12.8278,2
75.323,23.6907,2
79.8064,15.0709,2
77.3122,27.0131,2
74.033,23.4533,2
79.7915,15.8976,2
67.6551,12.6915,2
82.2746,18.851,2
74.6678,19.583,2
80.1163,22.9524,2
81.3805,21.0977,2
86.8367,27.6667,2
85.6353,11.6527,2
87.8174,25.8753,2
68.2152,23.1018,2
70.736,22.1055,2
75.2745,21.0921,2
83.6532,21.3189,2
74.1987,17.5698,2
87.87,18.0061,2
86.0406,24.9842,2
77.0663,15.9596,2
59.013,21.6508,2
56.9203,18.8599,2
76.0399,26.3307,2
75.7639,26.0647,2
92.7427,23.7678,2
78.6761,21.6241,2
80.8585,17.4886,2
90.328,20.5859,2
63.5836,26.5498,2
80.1201,16.1586,2
72.5627,15.6892,2
80.9065,19.5516,2
69.4676,20.3381,2
84.701,20.2693,2
79.9275,17.2284,2
72.3673,16.8545,2
80.9586,15.3157,2
89.8544,15.6585,2
91.8529,18.6363,2
62.1617,23.0257,2
69.542,22.4072,2
67.0926,27.3407,2
85.7038,21.4464,2
87.6876,19.8794,2
69.9399,29.5224,2
79.5476,28.6498,2
58.9454,21.7228,2
85.9106,23.4022,2
94.025,17.0917,2
88.5246,18.0932,2
55.5972,20.9862,2
74.8661,23.8021,2
78.1283,12.6129,2
97.0883,22.81,2
98.3732,18.0604,2
88.3196,17.3907,2
87.347,24.9467,2
81.1454,25.6954,2
88.1675,24.1093,2
98.1433,18.8935,2
76.9366,17.9953,2
78.1579,19.5714,2
99.7339,25.8134,2
77.1529,32.7803,2
73.6559,15.877,2
75.263,28.1812,2
89.5796,26.1458,2
86.966,13.848,2
79.5264,16.9655,2
90.4965,23.3003,2
63.4593,21.2125,2
95.1443,17.4042,2
87.0434,25.104,2
64.9053,25.4757,2
83.2355,11.5922,2
95.943,16.1748,2
75.316,17.3114,2
66.9853,16.6022,2
91.4025,17.1268,2
77.3654,11.095,2
71.2515,29.416,2
87.2638,20.6336,2
85.5334,24.6263,2
76.0045,18.576,2
78.3079,18.0837,2
84.2182,18.6711,2
92.9225,16.2323,2
74.4363,24.9492,2
78.1259,15.3218,2
94.8812,30.4514,2
74.8873,21.5105,2
85.2618,15.2084,2
50.3713,13.5208,2
74.8233,19.8095,2
84.0739,23.9367,2
83.1781,20.7238,2
72.3317,30.3841,2
77.2594,12.3115,2
77.8106,21.1205,2
63.3997,16.3298,2
83.4611,16.0917,2
83.4281,26.3351,2
67.8794,20.5886,2
80.8282,22.7708,2
81.7592,11.4044,2
85.1961,20.8422,2
65.0599,18.6868,2
85.1182,19.6144,2
91.2312,19.8093,2
70.2315,22.6785,2
95.0144,12.6849,2
89.9308,21.5898,2
94.4213,16.7538,2
94.9511,17.8929,2
67.1689,14.6126,2
68.112,17.8264,2
68.1123,14.7367,2
76.3031,24.1659,2
88.5725,20.8932,2
83.9302,23.0919,2
99.2305,16.908,2
84.256,16.6123,2
77.9115,14.9527,2
66.6199,34.3273,2
70.855,12.4887,2
90.8556,20.825,2
77.1468,17.7542,2
65.7734,22.0318,2
73.6752,31.6441,2
91.4629,22.245,2
83.321,22.8507,2
79.9825,18.5332,2
60.6561,29.5111,2
102.266,16.6576,2
78.4293,18.1161,2
105.73,15.1624,2
78.2722,22.484,2
73.3785,23.7229,2
74.8281,19.5654,2
69.9188,23.8546,2
78.2457,15.2797,2
90.8073,25.0357,2
75.2562,16.9524,2
54.0758,24.6464,2
76.607,16.6358,2
62.7537,20.7852,2
97.1608,25.1956,2
100.705,23.9326,2
97.009,16.6071,2
92.4695,23.1559,2
76.6752,16.7167,2
76.1111,15.5279,2
57.0814,26.8964,2
83.7126,13.2155,2
67.968,14.1279,2
79.0241,24.9739,2
78.4144,15.6589,2
81.482,16.94,2
74.5619,20.6659,2
82.5888,25.0752,2
73.4759,16.7827,2
70.6682,13.7925,2
103.967,16.1682,2
100.179,17.3458,2
72.6586,19.8646,2
63.1151,14.8557,2
85.1829,16.4154,2
86.5205,16.9372,2
72.3119,21.2736,2
94.3822,25.8279,2
94.0205,20.9641,2
85.8722,15.565,2
81.6319,18.4576,2
88.9713,16.0961,2
56.8327,12.8583,2
58.4387,16.3292,2
80.329,25.1869,2
94.4713,12.7665,2
67.3308,14.5389,2
73.7618,33.6068,2
77.8817,23.4493,2
76.973,22.2069,2
72.8299,15.2167,2
88.3261,20.4733,2
70.128,18.2977,2
84.1417,19.1357,2
57.9356,31.1119,2
80.483,13.9107,2
107.927,21.9888,2
77.4987,18.9272,2
69.643,11.4641,2
86.22,21.793,2
89.2116,21.5237,2
74.253,17.6942,2
75.897,17.3899,2
79.1129,14.1699,2
92.4622,15.645,2
75.1624,14.5184,2
84.6026,26.1982,2
72.6059,25.4227,2
98.3839,14.2853,2
23.5166,11.9139,0
24.0819,11.0174,0
23.332,7.93226,0
18.9569,9.00494,0
24.2569,10.4218,0
14.3754,11.0885,0
18.2374,12.9182,0
32.4389,14.6935,0
25.5382,5.45802,0
16.5206,6.57905,0
20.8753,7.63787,0
12.827,9.13351,0
17.5543,9.29695,0
14.9235,8.71005,0
19.7989,9.03297,0
20.4153,9.53745,0
16.2866,7.0014,0
7.53068,11.1361,0
18.9111,10.3905,0
22.1031,6.28643,0
16.2223,10.52,0
24.6203,11.101,0
20.671,9.72345,0
18.6732,8.11234,0
22.2376,11.4491,0
27.1228,8.72183,0
15.4509,11.2773,0
23.0784,7.30878,0
31.6558,10.9424,0
17.5647,10.7018,0
20.5273,10.2035,0
16.6221,11.4764,0
21.4423,10.3513,0
19.5352,11.1165,0
23.4841,11.7307,0
12.7291,10.2705,0
24.6103,9.61344,0
12.9955,11.9137,0
15.8987,7.15693,0
14.1914,12.421,0
18.5163,11.1218,0
22.944,7.61428,0
21.9979,9.07303,0
30.4315,9.87067,0
16.6971,12.3106,0
20.7797,8.02626,0
21.2406,8.18471,0
7.42285,7.96952,0
23.4688,7.73501,0
13.7606,8.71357,0
14.8236,9.49849,0
23.1984,11.079,0
17.5505,8.69979,0
26.6143,11.5311,0
14.2412,8.8979,0
19.5633,6.20176,0
21.1372,9.74239,0
19.613,8.51801,0
23.792,7.31073,0
18.4638,12.6245,0
26.2984,7.74667,0
22.1832,9.80089,0
17.3687,8.44294,0
23.7287,8.77192,0
16.0507,10.6706,0
13.0549,9.95172,0
21.5595,6.82109,0
21.0381,11.0041,0
15.0386,9.23481,0
20.5089,8.26346,0
20.6647,7.85273,0
22.8692,12.1367,0
10.34,12.3141,0
21.2964,11.4736,0
19.5317,9.40075,0
29.0523,8.28677,0
19.4529,8.77286,0
9.2403,10.1523,0
25.099,7.90634,0
21.9266,10.0333,0
20.8928,9.20188,0
12.6715,9.82003,0
21.0177,10.7445,0
18.6446,8.28678,0
21.6493,7.67656,0
12.9636,12.3763,0
7.5713,14.0458,0
22.6497,10.5529,0
